ticker,company,category
TRSNF,--,Utilities
AMPS,"Altus Power, Inc.",Utilities
ASCOF,Ascopiave S.p.A.,Utilities
FLNC,"Fluence Energy, Inc.",Utilities
CUPUF,"Caribbean Utilities Company, Ltd.",Utilities
GLVNF,Gallant Venture Ltd.,Utilities
YORW,The York Water Company,Utilities
BOTRF,China Everbright Water Limited,Utilities
CWPWF,Concord New Energy Group Limited,Utilities
GNE,Genie Energy Ltd.,Utilities
CWCO,Consolidated Water Co. Ltd.,Utilities
GDYMF,ReNu Energy Limited,Utilities
LGSXY,Light S.A.,Utilities
ARTNA,Artesian Resources Corporation,Utilities
CLMOF,Climeon AB (publ),Utilities
ARTNB,Artesian Resources Corporation,Utilities
CNLPL,The Connecticut Light and Power Company,Utilities
CNTHP,The Connecticut Light and Power Company,Utilities
MNTK,"Montauk Renewables, Inc.",Utilities
CNTHO,The Connecticut Light and Power Company,Utilities
AWAEF,SIIC Environment Holdings Ltd.,Utilities
GWRS,"Global Water Resources, Inc.",Utilities
CNLHO,The Connecticut Light and Power Company,Utilities
CNTHN,The Connecticut Light and Power Company,Utilities
OPAL,OPAL Fuels Inc.,Utilities
PCYO,Pure Cycle Corporation,Utilities
CNLHP,The Connecticut Light and Power Company,Utilities
CNLTP,The Connecticut Light and Power Company,Utilities
RGCO,"RGC Resources, Inc.",Utilities
CDZI,Cadiz Inc.,Utilities
CNPWM,The Connecticut Light and Power Company,Utilities
CNPWP,The Connecticut Light and Power Company,Utilities
CNLPM,The Connecticut Light and Power Company,Utilities
SMTLF,GCL New Energy Holdings Limited,Utilities
CNLTN,The Connecticut Light and Power Company,Utilities
CNLHN,The Connecticut Light and Power Company,Utilities
MXGFF,Maxim Power Corp.,Utilities
CNLTL,The Connecticut Light and Power Company,Utilities
ELLO,Ellomay Capital Ltd.,Utilities
BINHF,Binhai Investment Company Limited,Utilities
RAMPF,Polaris Renewable Energy Inc.,Utilities
EWCLF,Energy World Corporation Ltd,Utilities
MSSEL,Massachusetts Electric Company,Utilities
SVMRF,Magnora ASA,Utilities
LNDNF,Orrön Energy AB (publ),Utilities
HYFXF,Hyflux Ltd,Utilities
VGAS,"Verde Clean Fuels, Inc.",Utilities
NRGV,"Energy Vault Holdings, Inc.",Utilities
CETI,"Cyber Enviro-Tech, Inc.",Utilities
SUUN,SolarBank Corporation,Utilities
FRHYF,Frontier Energy Limited,Utilities
STEM,"Stem, Inc.",Utilities
GEECF,Global Environmental Energy Corp.,Utilities
AZREF,Azure Power Global Limited,Utilities
WEGYF,Westbridge Renewable Energy Corp.,Utilities
PSPW,"3Power Energy Group, Inc.",Utilities
SHUNF,Shunfeng International Clean Energy Limited,Utilities
ZHYLF,Zhaoheng Hydropower Ltd.,Utilities
DOMWF,Prime Drink Group Corp.,Utilities
WAVE,Eco Wave Power Global AB (publ),Utilities
SUME,"Summer Energy Holdings, Inc.",Utilities
SMAYF,SIMEC Atlantis Energy Limited,Utilities
AWSL,Atlantic Power & Infrastructure Corp.,Utilities
RROYF,RE Royalties Ltd.,Utilities
CLNV,Clean Vision Corporation,Utilities
WNDW,"SolarWindow Technologies, Inc.",Utilities
GEBRF,Greenbriar Sustainable Living Inc.,Utilities
REVVF,ReVolve Renewable Power Corp.,Utilities
BNRG,Brenmiller Energy Ltd,Utilities
DHKCF,Global Strategic Group Limited,Utilities
CWGYF,Carnegie Clean Energy Limited,Utilities
CGFEF,CF Energy Corp.,Utilities
CNQQF,Clean TeQ Water Limited,Utilities
VSPC,VIASPACE Inc.,Utilities
HLGN,"Heliogen, Inc.",Utilities
CREG,Smart Powerr Corp.,Utilities
HTOO,Fusion Fuel Green PLC,Utilities
PWCO,"PwrCor, Inc.",Utilities
EUSP,EuroSite Power Inc.,Utilities
ASRE,"Astra Energy, Inc.",Utilities
FNEC,First National Energy Corporation,Utilities
VXIT,"VirExit Technologies, Inc.",Utilities
AEPT,"American Environmental Partners, Inc.",Utilities
CHNGQ,"China Natural Gas, Inc.",Utilities
NKWFF,Oceanic Wind Energy Inc.,Utilities
ARSC,Bitcoin Crypto Currency Exchange Corporation,Utilities
IICN,"China Intelligence Information Systems, Inc.",Utilities
RENU,RenuEn Corporation,Utilities
GSFI,Green Stream Holdings Inc.,Utilities
MOTNF,Powertap Hydrogen Capital Corp.,Utilities
NCEN,Nacel Energy Corporation,Utilities
WWPW,Wind Works Power Corp.,Utilities
QSPW,Quantum Solar Power Corp.,Utilities
MMMW,"Mass Megawatts Wind Power, Inc.",Utilities
RIGH,"Bud Genius, Inc.",Utilities
ALCE,Alternus Clean Energy Inc,Utilities
FEWP,Far East Wind Power Corp.,Utilities
ARMM,Current Energy and Renewables Corp.,Utilities
USWF,"U.S. Wind Farming, Inc.",Utilities
VCII,"ViviCells International, Inc.",Utilities
TPII,"Triad Pro Innovators, Inc.",Utilities
CPWR,Ocean Thermal Energy Corporation,Utilities
ETRXF,Etrion Corporation,Utilities
CMNR,"Commerce Energy Group, Inc.",Utilities
ALKHF,Alaska Hydro Corporation,Utilities
VENG,Vision Energy Corporation,Utilities
CGEI,CGE Energy Inc.,Utilities
ELIQQ,"Electriq Power Holdings, Inc.",Utilities
BLSP,Blue Sphere Corporation,Utilities
GRGR,"Green Energy Resources, Inc.",Utilities
ARAO,"AuraSource, Inc.",Utilities
SKGO,"SkyBridge Technology Group, Inc.",Utilities
AGQPF,Algonquin Power & Utilities Corp,Utilities
AILIO,Ameren Illinois Company PFD 4.26%,Utilities
AILIP,Ameren Illinois Company PFD 4.20%,Utilities
AILLP,Ameren Illinois Company PFD 4%,Utilities
BANGN,Emera Maine PFD 7%,Utilities
BEP-PA,Brookfield Renewable Partners L.P.,Utilities
BESS,Bimergen Energy Corporation,Utilities
BIP-PA,Brookfield Infrastructure Partners L.P.,Utilities
